Entry	Entry name	Protein names	Domain [FT]
Q0VDD5	CQ091_HUMAN	Putative uncharacterized protein encoded by MIR22HG	
O75061	AUXI_HUMAN	Putative tyrosine-protein phosphatase auxilin (EC 3.1.3.48) (DnaJ homolog subfamily C member 6)	DOMAIN 55..222;  /note="Phosphatase tensin-type";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00590"; DOMAIN 228..366;  /note="C2 tensin-type";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00589"; DOMAIN 849..913;  /note="J";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00286"
P39059	COFA1_HUMAN	Collagen alpha-1(XV) chain [Cleaved into: Restin (Endostatin-XV) (Related to endostatin) (Restin-I); Restin-2 (Restin-II); Restin-3 (Restin-III); Restin-4 (Restin-IV)]	DOMAIN 66..249;  /note="Laminin G-like"; DOMAIN 619..680;  /note="Collagen-like 1"; DOMAIN 681..731;  /note="Collagen-like 2"; DOMAIN 823..865;  /note="Collagen-like 3"; DOMAIN 879..927;  /note="Collagen-like 4"
O00555	CAC1A_HUMAN	Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)	
C9J302	CD051_HUMAN	Uncharacterized protein C4orf51	
Q9HCU0	CD248_HUMAN	Endosialin (Tumor endothelial marker 1) (CD antigen CD248)	DOMAIN 30..156;  /note="C-type lectin";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00040"; DOMAIN 162..232;  /note="Sushi"; DOMAIN 312..351;  /note="EGF-like; calcium-binding";  /evidence="ECO:0000255"
Q8WXE0	CSKI2_HUMAN	Caskin-2 (CASK-interacting protein 2)	DOMAIN 281..347;  /note="SH3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 489..552;  /note="SAM 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00184"; DOMAIN 558..622;  /note="SAM 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00184"
Q86Y30	BAGE2_HUMAN	B melanoma antigen 2 (Cancer/testis antigen 2.2) (CT2.2)	
O75815	BCAR3_HUMAN	Breast cancer anti-estrogen resistance protein 3 (Novel SH2-containing protein 2) (SH2 domain-containing protein 3B)	DOMAIN 154..253;  /note="SH2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 548..818;  /note="Ras-GEF";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00168"
Q9UJS0	CMC2_HUMAN	Calcium-binding mitochondrial carrier protein Aralar2 (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13)	DOMAIN 51..86;  /note="EF-hand 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00448"; DOMAIN 87..122;  /note="EF-hand 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00448"; DOMAIN 125..157;  /note="EF-hand 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00448"; DOMAIN 158..193;  /note="EF-hand 4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00448"
O43529	CHSTA_HUMAN	Carbohydrate sulfotransferase 10 (EC 2.8.2.-) (HNK-1 sulfotransferase) (HNK-1ST) (HNK1ST) (HuHNK-1ST)	
Q8NET6	CHSTD_HUMAN	Carbohydrate sulfotransferase 13 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 3) (Chondroitin 4-sulfotransferase 3) (C4ST-3) (C4ST3)	
O75129	ASTN2_HUMAN	Astrotactin-2	DOMAIN 510..550;  /note="EGF-like 1"; DOMAIN 651..695;  /note="EGF-like 2"; DOMAIN 699..751;  /note="EGF-like 3"; DOMAIN 1065..1188;  /note="Fibronectin type-III"
Q5T280	CI114_HUMAN	Putative methyltransferase C9orf114 (EC 2.1.1.-) (Centromere protein 32) (CENP-32) (Kinetochore-associated protein) (SPOUT domain-containing methyltransferase 1)	
Q8IYS0	ASTRC_HUMAN	Protein Aster-C (GRAM domain-containing protein 1C)	DOMAIN 69..136;  /note="GRAM";  /evidence="ECO:0000255"; DOMAIN 326..497;  /note="VASt";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01114"
Q6ZRZ4	CI047_HUMAN	Uncharacterized protein C9orf47	
Q96CP6	ASTRA_HUMAN	Protein Aster-A (GRAM domain-containing protein 1A)	DOMAIN 91..158;  /note="GRAM";  /evidence="ECO:0000255"; DOMAIN 367..538;  /note="VASt";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01114"
Q5H9F3	BCORL_HUMAN	BCL-6 corepressor-like protein 1 (BCoR-L1) (BCoR-like protein 1)	
P36980	FHR2_HUMAN	Complement factor H-related protein 2 (FHR-2) (DDESK59) (H factor-like 3) (H factor-like protein 2)	DOMAIN 22..84;  /note="Sushi 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 85..142;  /note="Sushi 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 147..205;  /note="Sushi 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 206..268;  /note="Sushi 4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"
Q96MD7	CI085_HUMAN	Uncharacterized protein C9orf85	
Q6ZV77	CI139_HUMAN	Uncharacterized protein C9orf139	
Q9BXR6	FHR5_HUMAN	Complement factor H-related protein 5 (FHR-5)	DOMAIN 23..83;  /note="Sushi 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 85..142;  /note="Sushi 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 145..203;  /note="Sushi 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 206..264;  /note="Sushi 4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 267..324;  /note="Sushi 5";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 329..383;  /note="Sushi 6";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 387..444;  /note="Sushi 7";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 447..505;  /note="Sushi 8";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 507..569;  /note="Sushi 9";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"
Q9NZU1	FLRT1_HUMAN	Leucine-rich repeat transmembrane protein FLRT1 (Fibronectin-like domain-containing leucine-rich transmembrane protein 1)	DOMAIN 21..53;  /note="LRRNT"; DOMAIN 300..352;  /note="LRRCT"; DOMAIN 409..504;  /note="Fibronectin type-III";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"
Q9H7F0	AT133_HUMAN	Probable cation-transporting ATPase 13A3 (EC 7.2.2.-) (ATPase family homolog up-regulated in senescence cells 1)	
O76071	CIAO1_HUMAN	Probable cytosolic iron-sulfur protein assembly protein CIAO1 (WD repeat-containing protein 39)	
P15311	EZRI_HUMAN	Ezrin (Cytovillin) (Villin-2) (p81)	DOMAIN 2..295;  /note="FERM";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00084"
P21291	CSRP1_HUMAN	Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1) (Epididymis luminal protein 141) (HEL-141)	DOMAIN 10..61;  /note="LIM zinc-binding 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00125"; DOMAIN 119..170;  /note="LIM zinc-binding 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00125"
Q99828	CIB1_HUMAN	Calcium and integrin-binding protein 1 (CIB) (Calcium- and integrin-binding protein) (CIBP) (Calmyrin) (DNA-PKcs-interacting protein) (Kinase-interacting protein) (KIP) (SNK-interacting protein 2-28) (SIP2-28)	DOMAIN 103..138;  /note="EF-hand 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00448"; DOMAIN 148..183;  /note="EF-hand 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00448"
P05023	AT1A1_HUMAN	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)	
Q96I24	FUBP3_HUMAN	Far upstream element-binding protein 3 (FUSE-binding protein 3)	DOMAIN 77..141;  /note="KH 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00117"; DOMAIN 162..228;  /note="KH 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00117"; DOMAIN 253..317;  /note="KH 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00117"; DOMAIN 354..421;  /note="KH 4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00117"
Q9H4G1	CST9L_HUMAN	Cystatin-9-like (Testatin)	
A0PJX0	CIB4_HUMAN	Calcium and integrin-binding family member 4	DOMAIN 62..95;  /note="EF-hand 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00448"; DOMAIN 97..132;  /note="EF-hand 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00448"; DOMAIN 138..174;  /note="EF-hand 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00448"
P0CH98	F106C_HUMAN	Protein FAM106C (FAM106C pseudogene)	
Q9UI32	GLSL_HUMAN	Glutaminase liver isoform, mitochondrial (GLS) (EC 3.5.1.2) (L-glutaminase) (L-glutamine amidohydrolase)	
O95990	F107A_HUMAN	Actin-associated protein FAM107A (Down-regulated in renal cell carcinoma 1) (Protein TU3A)	
Q96RK0	CIC_HUMAN	Protein capicua homolog	
Q9H098	F107B_HUMAN	Protein FAM107B	
Q96BI3	APH1A_HUMAN	Gamma-secretase subunit APH-1A (APH-1a) (Aph-1alpha) (Presenilin-stabilization factor)	
Q8N1G2	CMTR1_HUMAN	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 (EC 2.1.1.57) (Cap methyltransferase 1) (Cap1 2'O-ribose methyltransferase 1) (MTr1) (hMTr1) (FtsJ methyltransferase domain-containing protein 2) (Interferon-stimulated gene 95 kDa protein) (ISG95)	DOMAIN 87..133;  /note="G-patch";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00092"; DOMAIN 231..450;  /note="RrmJ-type SAM-dependent 2'-O-MTase";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00945"; DOMAIN 752..786;  /note="WW";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00224"
Q9H0L4	CSTFT_HUMAN	Cleavage stimulation factor subunit 2 tau variant (CF-1 64 kDa subunit tau variant) (Cleavage stimulation factor 64 kDa subunit tau variant) (CSTF 64 kDa subunit tau variant) (TauCstF-64)	DOMAIN 16..94;  /note="RRM";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"
P05026	AT1B1_HUMAN	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	
P49771	FLT3L_HUMAN	Fms-related tyrosine kinase 3 ligand (Flt3 ligand) (Flt3L) (SL cytokine)	
P02671	FIBA_HUMAN	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	DOMAIN 623..864;  /note="Fibrinogen C-terminal";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00739"
Q70Z53	F10C1_HUMAN	Protein FRA10AC1	
Q9H4D0	CSTN2_HUMAN	Calsyntenin-2 (Alcadein-gamma) (Alc-gamma)	DOMAIN 44..160;  /note="Cadherin 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"; DOMAIN 161..280;  /note="Cadherin 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"
Q8N3K9	CMYA5_HUMAN	Cardiomyopathy-associated protein 5 (Dystrobrevin-binding protein 2) (Genethonin-3) (Myospryn) (SPRY domain-containing protein 2) (Tripartite motif-containing protein 76)	DOMAIN 3704..3805;  /note="Fibronectin type-III 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 3806..3898;  /note="Fibronectin type-III 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 3880..4065;  /note="B30.2/SPRY";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00548"
Q9BQ89	F110A_HUMAN	Protein FAM110A	
Q9NWQ9	CN119_HUMAN	Uncharacterized protein C14orf119	
Q9H972	CN093_HUMAN	Uncharacterized protein C14orf93	
P54709	AT1B3_HUMAN	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)	
Q9UHD4	CIDEB_HUMAN	Cell death activator CIDE-B (Cell death-inducing DFFA-like effector B)	DOMAIN 34..110;  /note="CIDE-N";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00447"
Q9BZZ5	API5_HUMAN	Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL)	
Q8WXQ3	CN183_HUMAN	Putative uncharacterized protein encoded by LINC01599	
Q8NA66	CNBD1_HUMAN	Cyclic nucleotide-binding domain-containing protein 1	
Q5VTH2	FLTOP_HUMAN	Protein Flattop (Cilia- and flagella-associated protein 126)	
O43734	CIKS_HUMAN	Adapter protein CIKS (Connection to IKK and SAPK/JNK) (Nuclear factor NF-kappa-B activator 1) (ACT1) (TRAF3-interacting protein 2)	DOMAIN 409..550;  /note="SEFIR";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00867"
Q96M20	CNBD2_HUMAN	Cyclic nucleotide-binding domain-containing protein 2	
Q8N3T1	GLT15_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 15 (EC 2.4.1.41) (Polypeptide GalNAc transferase-like protein 2) (GalNAc-T-like protein 2) (pp-GaNTase-like protein 2) (Polypeptide N-acetylgalactosaminyltransferase-like protein 2) (Protein-UDP acetylgalactosaminyltransferase-like protein 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 2)	DOMAIN 504..631;  /note="Ricin B-type lectin";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00174"
Q8IUL8	CILP2_HUMAN	Cartilage intermediate layer protein 2 (CILP-2) [Cleaved into: Cartilage intermediate layer protein 2 C1; Cartilage intermediate layer protein 2 C2]	DOMAIN 146..197;  /note="TSP type-1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00210"; DOMAIN 292..376;  /note="Ig-like C2-type"
Q6SJ93	F111B_HUMAN	Protein FAM111B (Cancer-associated nucleoprotein)	
Q9NUD7	CT096_HUMAN	Uncharacterized protein C20orf96	
Q6P1L5	F117B_HUMAN	Protein FAM117B (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 13 protein)	
P02675	FIBB_HUMAN	Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]	DOMAIN 232..488;  /note="Fibrinogen C-terminal";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00739"
Q14457	BECN1_HUMAN	Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) (Protein GT197) [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa]	
Q9Y5Y0	FLVC1_HUMAN	Feline leukemia virus subgroup C receptor-related protein 1 (Feline leukemia virus subgroup C receptor) (hFLVCR)	
P20020	AT2B1_HUMAN	Plasma membrane calcium-transporting ATPase 1 (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 1) (PMCA1) (Plasma membrane calcium pump isoform 1)	
Q9UPI3	FLVC2_HUMAN	Feline leukemia virus subgroup C receptor-related protein 2 (Calcium-chelate transporter) (CCT)	
Q01814	AT2B2_HUMAN	Plasma membrane calcium-transporting ATPase 2 (PMCA2) (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 2) (Plasma membrane calcium pump isoform 2)	
Q5TEA3	CT194_HUMAN	Uncharacterized protein C20orf194	
Q9HDC9	APMAP_HUMAN	Adipocyte plasma membrane-associated protein (Protein BSCv)	
Q8N268	CT197_HUMAN	Uncharacterized protein C20orf197	
Q96EK7	F120B_HUMAN	Constitutive coactivator of peroxisome proliferator-activated receptor gamma (Constitutive coactivator of PPAR-gamma) (Constitutive coactivator of PPARG) (PPARG constitutive coactivator 1) (PGCC1) (Protein FAM120B)	
Q5HYN5	CT451_HUMAN	Cancer/testis antigen family 45 member A1 (Cancer/testis antigen 45-1) (Cancer/testis antigen 45A1)	
P0DMV2	CT459_HUMAN	Cancer/testis antigen family 45 member A9 (Cancer/testis antigen 45A9)	
P0DMU8	CT455_HUMAN	Cancer/testis antigen family 45 member A5 (Cancer/testis antigen 45-5) (Cancer/testis antigen 45A5)	
P05089	ARGI1_HUMAN	Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase)	
Q8NDZ0	BEND2_HUMAN	BEN domain-containing protein 2	DOMAIN 483..582;  /note="BEN 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00784"; DOMAIN 667..765;  /note="BEN 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00784"
P0DMV1	CT458_HUMAN	Cancer/testis antigen family 45 member A8 (Cancer/testis antigen 45A8)	
O75185	AT2C2_HUMAN	Calcium-transporting ATPase type 2C member 2 (ATPase 2C2) (EC 7.2.2.10) (Secretory pathway Ca(2+)-ATPase 2)	
Q5SZJ8	BEND6_HUMAN	BEN domain-containing protein 6	DOMAIN 171..271;  /note="BEN";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00784"
O95476	CNEP1_HUMAN	CTD nuclear envelope phosphatase 1 (EC 3.1.3.16) (Serine/threonine-protein phosphatase dullard)	DOMAIN 57..224;  /note="FCP1 homology";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00336"
Q8N7W2	BEND7_HUMAN	BEN domain-containing protein 7	DOMAIN 287..392;  /note="BEN";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00784"
A6NH11	GLTD2_HUMAN	Glycolipid transfer protein domain-containing protein 2	
Q86V42	F124A_HUMAN	Protein FAM124A	
Q8IZM0	CNG1O_HUMAN	Putative CNGA1-overlapping antisense gene protein (Anti-CNG1)	
O76090	BEST1_HUMAN	Bestrophin-1 (TU15B) (Vitelliform macular dystrophy protein 2)	
Q8NFU0	BEST4_HUMAN	Bestrophin-4 (Vitelliform macular dystrophy 2-like protein 2)	
P04066	FUCO_HUMAN	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)	
Q9NTI2	AT8A2_HUMAN	Phospholipid-transporting ATPase IB (EC 7.6.2.1) (ATPase class I type 8A member 2) (ML-1) (P4-ATPase flippase complex alpha subunit ATP8A2)	
Q8TAL6	FIBIN_HUMAN	Fin bud initiation factor homolog	
O15155	BET1_HUMAN	BET1 homolog (hBET1) (Golgi vesicular membrane-trafficking protein p18)	DOMAIN 26..88;  /note="t-SNARE coiled-coil homology";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00202"
Q14028	CNGB1_HUMAN	Cyclic nucleotide-gated cation channel beta-1 (Cyclic nucleotide-gated cation channel 4) (CNG channel 4) (CNG-4) (CNG4) (Cyclic nucleotide-gated cation channel gamma) (Cyclic nucleotide-gated cation channel modulatory subunit) (Cyclic nucleotide-gated channel beta-1) (CNG channel beta-1) (Glutamic acid-rich protein) (GARP)	
Q8NBU5	ATAD1_HUMAN	ATPase family AAA domain-containing protein 1 (EC 3.6.1.3) (Thorase)	
Q8TCG1	CIP2A_HUMAN	Protein CIP2A (Cancerous inhibitor of PP2A) (p90 autoantigen)	
Q0VD83	APOBR_HUMAN	Apolipoprotein B receptor (Apolipoprotein B-100 receptor) (Apolipoprotein B-48 receptor) (Apolipoprotein B48 receptor) (apoB-48R)	
Q9P003	CNIH4_HUMAN	Protein cornichon homolog 4 (CNIH-4) (Cornichon family AMPA receptor auxiliary protein 4)	
Q9C0C6	CIPC_HUMAN	CLOCK-interacting pacemaker (CLOCK-interacting circadian protein)	
Q96QE3	ATAD5_HUMAN	ATPase family AAA domain-containing protein 5 (Chromosome fragility-associated gene 1 protein)	
P02656	APOC3_HUMAN	Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3)	
P59022	DSC10_HUMAN	Down syndrome critical region protein 10	
P0C7T7	FMAS1_HUMAN	Putative uncharacterized protein FRMD6-AS1 (FRMD6 antisense RNA 1) (FRMD6 antisense gene protein 1)	
Q8WYA6	CTBL1_HUMAN	Beta-catenin-like protein 1 (Nuclear-associated protein) (NAP) (Testis development protein NYD-SP19)	
Q13363	CTBP1_HUMAN	C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-)	
O76031	CLPX_HUMAN	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	DOMAIN 93..146;  /note="ClpX-type ZB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01250"
A5YKK6	CNOT1_HUMAN	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)	
Q96BN6	F149B_HUMAN	Protein FAM149B1	
Q8N5K1	CISD2_HUMAN	CDGSH iron-sulfur domain-containing protein 2 (Endoplasmic reticulum intermembrane small protein) (MitoNEET-related 1 protein) (Miner1) (Nutrient-deprivation autophagy factor-1) (NAF-1)	
Q9NWB6	ARGL1_HUMAN	Arginine and glutamate-rich protein 1	
Q9GZU7	CTDS1_HUMAN	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 (EC 3.1.3.16) (Nuclear LIM interactor-interacting factor 3) (NLI-IF) (NLI-interacting factor 3) (Small C-terminal domain phosphatase 1) (SCP1) (Small CTD phosphatase 1)	DOMAIN 86..244;  /note="FCP1 homology";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00336"
Q9UIV1	CNOT7_HUMAN	CCR4-NOT transcription complex subunit 7 (EC 3.1.13.4) (BTG1-binding factor 1) (CCR4-associated factor 1) (CAF-1) (Caf1a)	
P02749	APOH_HUMAN	Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Anticardiolipin cofactor) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)	DOMAIN 21..81;  /note="Sushi 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 82..139;  /note="Sushi 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 140..202;  /note="Sushi 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"; DOMAIN 203..262;  /note="Sushi 4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00302"
O14791	APOL1_HUMAN	Apolipoprotein L1 (Apolipoprotein L) (Apo-L) (ApoL) (Apolipoprotein L-I) (ApoL-I)	
Q9BPW4	APOL4_HUMAN	Apolipoprotein L4 (Apolipoprotein L-IV) (ApoL-IV)	
O75949	F155B_HUMAN	Transmembrane protein FAM155B (Protein TED) (Transmembrane protein 28)	
Q9BT09	CNPY3_HUMAN	Protein canopy homolog 3 (CTG repeat protein 4a) (Expanded repeat-domain protein CAG/CTG 5) (Protein associated with TLR4) (Trinucleotide repeat-containing gene 5 protein)	DOMAIN 47..271;  /note="Saposin B-type"
Q16678	CP1B1_HUMAN	Cytochrome P450 1B1 (EC 1.14.14.1) (CYPIB1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)	
Q3B820	F161A_HUMAN	Protein FAM161A	
P59020	DSCR9_HUMAN	Down syndrome critical region protein 9	
P34972	CNR2_HUMAN	Cannabinoid receptor 2 (CB-2) (CB2) (hCB2) (CX5)	
P18847	ATF3_HUMAN	Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3)	DOMAIN 86..149;  /note="bZIP";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00978"
Q6UW02	CP20A_HUMAN	Cytochrome P450 20A1 (EC 1.14.-.-)	
Q9P232	CNTN3_HUMAN	Contactin-3 (Brain-derived immunoglobulin superfamily protein 1) (BIG-1) (Plasmacytoma-associated neuronal glycoprotein)	DOMAIN 26..117;  /note="Ig-like C2-type 1"; DOMAIN 122..208;  /note="Ig-like C2-type 2"; DOMAIN 227..313;  /note="Ig-like C2-type 3"; DOMAIN 318..402;  /note="Ig-like C2-type 4"; DOMAIN 408..497;  /note="Ig-like C2-type 5"; DOMAIN 499..593;  /note="Ig-like C2-type 6"; DOMAIN 600..698;  /note="Fibronectin type-III 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 703..800;  /note="Fibronectin type-III 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 805..901;  /note="Fibronectin type-III 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 902..998;  /note="Fibronectin type-III 4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"
Q13515	BFSP2_HUMAN	Phakinin (49 kDa cytoskeletal protein) (Beaded filament structural protein 2) (Lens fiber cell beaded filament protein CP 47) (CP47) (Lens fiber cell beaded filament protein CP 49) (CP49) (Lens intermediate filament-like light) (LIFL-L)	DOMAIN 104..415;  /note="IF rod";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01188"
O95992	CH25H_HUMAN	Cholesterol 25-hydroxylase (EC 1.14.99.38) (Cholesterol 25-monooxygenase) (h25OH)	DOMAIN 129..263;  /note="Fatty acid hydroxylase";  /evidence="ECO:0000255"
P20813	CP2B6_HUMAN	Cytochrome P450 2B6 (EC 1.14.13.-) (1,4-cineole 2-exo-monooxygenase) (CYPIIB6) (Cytochrome P450 IIB1)	
Q8IWV2	CNTN4_HUMAN	Contactin-4 (Brain-derived immunoglobulin superfamily protein 2) (BIG-2)	DOMAIN 32..117;  /note="Ig-like C2-type 1"; DOMAIN 122..207;  /note="Ig-like C2-type 2"; DOMAIN 225..311;  /note="Ig-like C2-type 3"; DOMAIN 316..400;  /note="Ig-like C2-type 4"; DOMAIN 406..493;  /note="Ig-like C2-type 5"; DOMAIN 497..586;  /note="Ig-like C2-type 6"; DOMAIN 599..697;  /note="Fibronectin type-III 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 702..799;  /note="Fibronectin type-III 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 804..899;  /note="Fibronectin type-III 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 900..995;  /note="Fibronectin type-III 4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"
P07954	FUMH_HUMAN	Fumarate hydratase, mitochondrial (Fumarase) (HsFH) (EC 4.2.1.2)	
